epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,9172.82,1.64328,4.23817,2.39547,0.80465,0.70335,0.73578,0.54461,1.7116,3.34641,2.26479,0.00702987,0.00702987,0.00702987
54,9345.41,1.64839,4.29853,2.40577,0.80939,0.71136,0.73926,0.54558,1.70356,3.30819,2.26382,0.00679501,0.00679501,0.00679501
55,9516.67,1.63756,4.21543,2.38911,0.81152,0.70938,0.73959,0.55098,1.67863,3.26203,2.23987,0.00656084,0.00656084,0.00656084
56,9689.25,1.62474,4.18349,2.38098,0.8025,0.71562,0.74258,0.5495,1.70631,3.2973,2.25156,0.00632761,0.00632761,0.00632761
57,9861.72,1.6255,4.19815,2.383,0.81474,0.70709,0.74284,0.55151,1.68857,3.28339,2.24092,0.00609553,0.00609553,0.00609553
58,10033.9,1.62778,4.21834,2.37984,0.81003,0.71515,0.74332,0.55096,1.68093,3.24012,2.23132,0.00586484,0.00586484,0.00586484
59,10205.6,1.61459,4.15069,2.37601,0.81482,0.71647,0.74417,0.55391,1.66699,3.21938,2.20886,0.00563576,0.00563576,0.00563576
60,10378.9,1.60182,4.12127,2.35751,0.81971,0.71027,0.74537,0.55816,1.6467,3.21455,2.18615,0.00540853,0.00540853,0.00540853
61,10551.8,1.5865,4.08494,2.35387,0.81301,0.71292,0.74433,0.55917,1.65159,3.2106,2.19545,0.00518335,0.00518335,0.00518335
62,10724.8,1.59058,4.06825,2.35444,0.82104,0.71281,0.74773,0.56041,1.64986,3.20799,2.1915,0.00496047,0.00496047,0.00496047
63,10897.1,1.5999,4.1022,2.35968,0.82979,0.71561,0.74898,0.56173,1.63591,3.18762,2.17015,0.00474009,0.00474009,0.00474009
64,11069.8,1.57161,4.03401,2.34171,0.83552,0.71255,0.75034,0.56048,1.63487,3.19802,2.17237,0.00452244,0.00452244,0.00452244
65,11242.9,1.57461,4.01906,2.34214,0.81894,0.715,0.74977,0.55988,1.64477,3.1934,2.18176,0.00430772,0.00430772,0.00430772
66,11415.1,1.56716,4.03401,2.33783,0.84374,0.7036,0.74798,0.55932,1.65464,3.18382,2.18692,0.00409616,0.00409616,0.00409616
67,11587.8,1.56132,3.99579,2.34108,0.83024,0.7147,0.75117,0.55996,1.64367,3.15765,2.17579,0.00388796,0.00388796,0.00388796
68,11759.8,1.5307,3.99213,2.318,0.81159,0.72373,0.75116,0.56501,1.6221,3.1283,2.16025,0.00368332,0.00368332,0.00368332
69,11933.1,1.52826,3.89996,2.30861,0.82662,0.72308,0.75251,0.56386,1.62273,3.13656,2.16042,0.00348245,0.00348245,0.00348245
70,12105.2,1.53208,3.92326,2.31703,0.81909,0.72468,0.75355,0.5651,1.618,3.13288,2.15648,0.00328555,0.00328555,0.00328555
71,12277.6,1.53527,3.90837,2.31299,0.83435,0.71942,0.75255,0.56683,1.61389,3.11111,2.15873,0.0030928,0.0030928,0.0030928
72,12450.4,1.52882,3.88689,2.31237,0.83508,0.71845,0.75277,0.56749,1.61644,3.11028,2.16072,0.00290441,0.00290441,0.00290441
73,12621.8,1.52508,3.90764,2.31247,0.8234,0.71832,0.75138,0.56854,1.61185,3.10956,2.15661,0.00272055,0.00272055,0.00272055
74,12794.5,1.51439,3.83612,2.30068,0.83175,0.7193,0.75357,0.57027,1.61204,3.10458,2.15609,0.00254141,0.00254141,0.00254141
75,12967,1.51339,3.85872,2.29748,0.82175,0.72139,0.75424,0.57093,1.60549,3.09696,2.15019,0.00236716,0.00236716,0.00236716
76,13138.3,1.51909,3.87303,2.30397,0.83272,0.71389,0.75462,0.57223,1.59973,3.09409,2.14431,0.00219798,0.00219798,0.00219798
77,13310.2,1.51255,3.82757,2.2924,0.83622,0.71136,0.75399,0.57296,1.59342,3.09496,2.13932,0.00203403,0.00203403,0.00203403
78,13482.2,1.50967,3.83792,2.29837,0.8416,0.70887,0.7538,0.57364,1.58644,3.08601,2.13382,0.00187548,0.00187548,0.00187548
79,13654.3,1.49992,3.76311,2.28534,0.85677,0.70617,0.75305,0.57356,1.58803,3.09186,2.13574,0.00172248,0.00172248,0.00172248
80,13825.3,1.50185,3.80243,2.29239,0.85881,0.70462,0.75368,0.57237,1.58525,3.08827,2.1319,0.00157518,0.00157518,0.00157518
81,13997.8,1.49346,3.81766,2.28756,0.83485,0.71442,0.75274,0.57241,1.5858,3.09345,2.13316,0.00143373,0.00143373,0.00143373
82,14169.8,1.48355,3.75276,2.27488,0.8404,0.70893,0.75187,0.57263,1.58154,3.09393,2.13083,0.00129827,0.00129827,0.00129827
83,14343.6,1.48379,3.78607,2.27593,0.84742,0.708,0.75222,0.57368,1.58024,3.09144,2.12859,0.00116892,0.00116892,0.00116892
84,14515.5,1.47463,3.73743,2.27243,0.85368,0.70741,0.75211,0.5742,1.57997,3.08304,2.12788,0.00104583,0.00104583,0.00104583
85,14688.3,1.47898,3.70853,2.26695,0.85149,0.70767,0.75292,0.5763,1.5782,3.08392,2.12713,0.000929107,0.000929107,0.000929107
86,14860.8,1.48291,3.76099,2.27633,0.84867,0.70715,0.75271,0.57568,1.57809,3.0829,2.12507,0.000818869,0.000818869,0.000818869
87,15032.5,1.47049,3.72294,2.26469,0.84603,0.70989,0.75348,0.57696,1.5755,3.07969,2.12352,0.000715226,0.000715226,0.000715226
